,sku,ASSEMBLY REQUIRED,ASSEMBLY TIME,BOX (SHIPPING CARTONS QTY),BOX 1 - CUBE,BOX 1 - DEPTH / WIDTH,BOX 1 - HEIGHT,BOX 1 - LENGTH,BOX 1 - WEIGHT / LBS,BOX 1 HS NUMBER,BOX 1 UPC CODE,CARB COMPLIANT,DEPARTMENT - 1,FINISH - PRIMARY,FINISHED ON ALL SIDES,KEYWORD COLOR 2,KEYWORD FEATURE,KEYWORD FEATURE 2,KEYWORD MATERIAL - FINISH,KEYWORD USAGE 2,KEYWORD USAGE 3,KEYWORD USAGE 4,LEG - DEPTH / WIDTH,LEG - HEIGHT,LEG - LENGTH,LEGS - INCLUDED (QTY),MATERIAL - 1,MATERIAL COLOR,PACKAGING MATERIAL WEIGHT,PRODUCT - DEPTH / WIDTH,PRODUCT - HEIGHT,PRODUCT - LENGTH,PRODUCT - WEIGHT / LBS,PRODUCT TYPE,STYLE,WEIGHT CAPACITY,WINE BOTTLE QTY,WINE BOTTLE STORAGE,WINE GLASS QTY,WINE GLASS STORAGE,BOX 1 HS DESCRIPTION,COUNTRY OF PRIMARY WOOD MILL,FEATURE,FINISH - SECONDARY,FOAM DENSITY,KEYWORD COLOR,KEYWORD FEATURE 3,KEYWORD FEATURE 5,KEYWORD MATERIAL 2 - FINISH,KEYWORD USAGE,MATERIAL - 2,MATERIAL CONTENT (%) COTTON,MATERIAL CONTENT (%) POLYESTER,MATERIAL CONTENT (%) POLYURETHANE,PIECES IN SET,PRODUCT 2 - DEPTH / WIDTH,PRODUCT 2 - HEIGHT,PRODUCT 2 - LENGTH,PRODUCT 2 - WEIGHT / LBS,SEAT - DEPTH,SEAT - WIDTH,SEAT BACK - DEPTH / WIDTH,SEAT BACK - HEIGHT,SEAT BACK - WIDTH,SEAT CUSHION THICKNESS,SEAT HEIGHT FROM FLOOR,SEAT SWIVEL,SEAT SWIVEL RANGE,SET TYPE,SHAPE,UPHOLSTERY,WEIGHT CAPACITY 2,WOOD PERCENTAGE (%),WOOD SPECIES PRIMARY,FINISH ATTRIBUTES,KEYWORD FEATURE 4,LEG 2 - HEIGHT,LEGS - FINISH,PRODUCT - HEIGHT (MAX),PRODUCT 2 - HEIGHT (MAX),SEAT HEIGHT FROM FLOOR 2,COUNTER HEIGHT,BAR HEIGHT,SEAT ADJUSTIBLE,SEAT ADJUSTIBLE RANGE,SEAT ARM - DEPTH / WIDTH,SEAT ARM - HEIGHT,SEAT ARM - LENGTH,CABINET INTERIOR - DEPTH / WIDTH,CABINET INTERIOR - HEIGHT,CABINET INTERIOR - LENGTH,CABINETS INCLUDED QTY,LEG 2 - DEPTH / WIDTH,LEG 2 - LENGTH,LEGS 2 - INCLUDED (QTY),SHELF - DEPTH / WIDTH,SHELF - HEIGHT,SHELF - LENGTH,SHELF 2 - DEPTH / WIDTH,SHELF 2 - HEIGHT,SHELF 2 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY,SHELF MAXIMUM WEIGHT CAPACITY 2,SHELF THICKNESS,SHELF THICKNESS 2,TIPPING PREVENTION,KEYWORD USAGE 5,TABLE SEATING CAPACITY,SHELVES QTY,SHELVES QTY 2,MATERIAL CONTENT (%) LINEN,DRAWER GLIDES,DRAWER INCLUDED QTY,DRAWER INTERIOR - DEPTH / WIDTH,DRAWER INTERIOR - HEIGHT,DRAWER INTERIOR - LENGTH,DRAWER LEGAL SIZE,DRAWER LETTER SIZE,HARDWARE COLOR (HANDLES / KNOBS),HARDWARE MATERIAL ( HANDLES / KNOBS),SHELF 3 - DEPTH / WIDTH,SHELF 3 - HEIGHT,SHELF 3 - LENGTH,SHELF 4 - DEPTH / WIDTH,SHELF 4 - HEIGHT,SHELF 4 - LENGTH,SHELF MAXIMUM WEIGHT CAPACITY 3,SHELF MAXIMUM WEIGHT CAPACITY 4,SHELVES QTY 3,SHELVES QTY 4,title,description,bullet_points,price,product_type,inventory_status,image1,image2,image3,image4,image5,image6
0,I 3347,YES,60,1,1.24,17,4,40,21,9403.20.00.50,878218005410,YES,BAR,BLACK,YES,BLACK,HOLDS UP TO 15 STANDARD SIZE WINE BOTTLES,HOLDS 6 WINE GLASSES,METAL,WINE RACK,METAL WINE RACK,GLASS RACK,1,40.5,1,4,METAL,BLACK,2,12.5,40.5,16.25,19,HOME BAR,CONTEMPORARY,50,15,YES,6,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOME BAR - 40""H / BLACK METAL WINE BOTTLE AND GLASS RACK","Seamlessly blending style and utility, this wine bottle and glass rack is an excellent option to stack your prized wine bottles. Constructed with high quality metal this wine rack holds up to 15 wine bottles and features a convenient hanging glass rack that can holds 6 standard wine glasses, and a sleek black surface area to use as additional serving space to prepare your drinks. A must have in any dining room or kitchen, the elegant contemporary design draws the eye and blends well with any décor, all while keeping your wine collection neatly stored.","Holds up to 15 standard size wine bottles, Convenient hanging wine glass storage, Holds 6 wine glasses, Sturdy metal construction with a sleek black surface area to prepare drinks, Compact size perfect for a dining space, living room, entertainment area",$49.00 CAD ,BAR,Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_3347.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_3347.jpg?q=10/14/2020,,
1,I 1252,YES,60,1,4.08,21,10,34,47,9401.69.60.11,021032227357,,BAR,OAK,YES,BLACK,SET OF 2,COUNTER HEIGHT,WOOD,,,,1.5,20.75,1.5,4,SOLID WOOD,OAK,2,19,39,17.5,22.5,BAR STOOL,TRANSITIONAL,200,,,,,"24"" STOOL",MALAYSIA,SWIVEL,BLACK,20,OAK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"FOAM, MDF, VENEER",4,26,70,2PCS SET,19,39,17.5,22.5,16.25,16.25,1.75,15,17.5,1.75,24,YES,360,BAR STOOLS,ROUND,LEATHER-LOOK,200,90,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 39""H / SWIVEL / OAK COUNTER HEIGHT ","Style or comfort? Why pick when this set of 2 dark oak finish wood barstools blends both so seamlessly. With plush black leather-look 360 degrees swivel seats, interlocking circle design and perfectly positioned circular footrest, these counter height barstools will add a touch of elegance to any game room or dining area.","Set of 2 dark oak finish solid wood counter height stools, Plush black leather-look 360 degrees cushioned swivel seats, Circular back with perfectly positioned footrest for added comfort, Perfectly positioned circular footrest",$190.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1252.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!S2.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1252.jpg?q=10/14/2020,
2,I 1534,YES,60,1,2.06,16,9,30,27,9401.69.60.11,878218002815,,BAR,WHITE,YES,,SET OF 2,BAR HEIGHT,WOOD,,,,1.5,27.25,1.5,4,SOLID WOOD,WHITE,3,15.25,29,17.5,12,BAR STOOL,TRADITIONAL,200,,,,,,MALAYSIA,,,,WHITE,,BACKLESS,,BAR STOOL,MDF,,,,2PCS SET,15.25,29,17.5,12,9.25,17.5,,,,,29,,,BAR STOOLS,RECTANGLE,,200,95,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 29""H / WHITE SADDLE SEAT","This set of two 29"" high barstools in a white finish is the perfect addition for kitchens, game room or for extra seating when company arrives. With a comfortable saddle seat and well positioned footrest, these classic bar height stools will be the staple of many memorable evenings with friends and family.","Set of 2 stools, Bar height stools in solid wood with comfortable scooped saddle seat, Well positioned footrest to provide comfort and balance, Chic white finish in a classic design",$74.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1534.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1534!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1534!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1534.jpg?q=10/14/2020,,
3,I 2355,YES,30,1,4.02,20,18,21,40,9401.71.00.11,021032245054,,BAR,WHITE,YES,WHITE,SET OF 2,COUNTER OR BAR HEIGHT,METAL,,,,16.5,22,16.5,4,FOAM,WHITE,5,22,37,16.5,17.5,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,BARSTOOL,CHINA,"ADJUSTABLE, SWIVEL",,45,CHROME,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",85,,15,2PCS SET,22,37,16.5,17.5,16,16,,12,16.25,3,25,,360,BAR STOOLS,,LEATHER-LOOK,264,30,,CHROME,ADJUSTABLE HYDRAULIC LIFT,27,CHROME,42,42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / WHITE / CHROME METAL HYDRAULIC LIFT ,"Get your style on - This set of 2 modern style bar chairs are waiting for you. With an ergonomic design, the white leather look seats have a straight-line padded design and footrest on the chrome metal base for extra comfort. Adjust the seats to counter height bar stools with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, game room or elsewhere, these bar stools are as stylish as it gets.","Built from heavy-duty steel, this set of 2 sturdy counter height bar stools are equipped with a cross brace for added support, Silver metal industrial galvanized finish has a glossy effect for added styling, Floor glides on all 4 legs prevent the bar chairs from sliding, Product Dimensions: 16.5 Inch W x 22 Inch D x 42 Inch Maximum H",$145.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2355.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2355!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2355!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2355.jpg?q=10/14/2020,,
4,I 2296,YES,30,1,4.27,22,12,28,33,9401.71.00.11,680796012342,,BAR,WHITE,YES,BLACK,SET OF 2,COUNTER HEIGHT,METAL,,,,19,21.5,18.5,4,FOAM,WHITE,6,20.5,29.75,20.5,13.5,BAR STOOL,"CONTEMPORARY, MODERN",330,,,,,,CHINA,,,45,CHROME,,LOW BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,2PCS SET,20.5,29.75,20.5,13.5,15,15.5,,5.75,20.5,2.5,24,,,BAR STOOLS,,LEATHER-LOOK,330,30,,CHROME,,,CHROME,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / WHITE / CHROME BASE / COUNTER HEIGHT,"With simple lines and contemporary styling, this set of 2 counter height bar stools will transform your dining and entertainment area. The smooth and supple cushioned white leather-look seat with a low profile curved back gives a sleek modern look to a room. The sturdy chrome metal base with a convenient foot rest makes it easy and comfortable to hang around whether you are entertaining, jamming out a new tune with friends, or simply dining at the breakfast counter. This is the perfect seating for an open loft, condo, or small eat-in spaces.","Set of 2 counter height bar stools, Upholstered in an easy to clean white leather-look fabric, Sleek chrome metal legs with foot rest for stable support, Modern design with thick cushioned low profile back, Easy to assemble, no special tools required",$115.00 CAD ,BAR,Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2296.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2296!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2296!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2296.jpg?q=10/14/2020,,
5,I 1533,YES,60,1,1.7,16,9,25,25,9401.69.60.11,878218002808,,BAR,WHITE,YES,,SET OF 2,COUNTER HEIGHT,WOOD,,,,1.5,22.25,1.5,4,SOLID WOOD,WHITE,3,13.75,24,17.5,11,BAR STOOL,TRADITIONAL,200,,,,,,MALAYSIA,,,,DARK BROWN,,BACKLESS,,BAR STOOL,MDF,,,,2PCS SET,13.75,24,17.5,11,9.25,17.5,,,,,24,,,BAR STOOLS,RECTANGLE,,200,95,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 24""H / WHITE SADDLE SEAT","Crafted for your comfort and convenience, these 2 satori stools are constructed of solid wood in a gleaming white finish. This will bring your kitchen or game room to new heights. The stand-out design is of a curved saddle stool look for extra comfort; while the bottom horizontal rails offer increased stability and can act as a footrest while you’re sitting at the counter. Place these counter stools wherever you choose and let them wow you. ","This set of 2 solid wood, white saddle stools make for the perfect counter height bar stools for your kitchen or game room , Horizontal bottom rails offer increased stability and can act as footrests , These 2 bar stools boast an on-trend traditional design with a smooth wipe clean surface , Product Dimensions: 18 Inch L x 14 Inch W x 24 Inch H",$68.00 CAD ,BAR,Out Of Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1533.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1533!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1533!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1533.jpg?q=10/14/2020,,
6,I 2398,YES,60,1,2.72,22,17,29,28,9401.71.00.31,021032018498,,BAR,BLACK,YES,,SET OF 2,BAR HEIGHT,WOOD,,,,0.75,26.5,0.75,4,METAL,BLACK,5,21.75,37,21.75,11.5,BAR STOOL,CONTEMPORARY,200,,,,,"BLK 29"" B/STOOL",,SWIVEL,,18,BLACK,,WITH BACK,LEATHER LOOK,BAR STOOL,FOAM,,95,5,2PCS SET,21.75,37,21.75,11.5,15,15,2,8,21.75,2,28,YES,360,BAR STOOLS,,LEATHER-LOOK,200,,,,,,BLACK,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 36""H / SWIVEL / BLACK METAL","The real deal when it comes to bar stools, this set of 2 is made for your kitchen against the counter or along the wall. With a curved back, the stools are equipped with a 360-degree swivel base, making your entertainment area a fun place to be for you and your guests. Upholstered in a black faux leather material with thick cushions for comfort, the black metal bases are sturdy and offer a bottom footrest bar. Bring this contemporary style to your living space - These two bar chairs are ready!","Suitable for the bar, bedroom, cafe, kitchen and so on; this set of 2 stool chairs are made for it all , Upholstered in a thick cushion faux leather material, these two bar chairs will be the new favorite spot for you and your guests , Black metal base features a bottom footrest bar for extra comfort; curved back saddle stool design for a contemporary look , 360-degree comfortable swivel stool maintains sturdiness while you change directions , Product Dimensions: 22 Inch L x 22 Inch W x 37 Inch H",$65.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2398.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2398!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2398!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2398.jpg?q=10/14/2020,,
7,I 1251,YES,60,1,4.08,21,10,34,48,9401.69.60.11,021032227340,,BAR,OAK,YES,BLACK,SET OF 2,BAR HEIGHT,WOOD,,,,1.5,25.25,1.5,4,SOLID WOOD,OAK,2,19,42,17.5,23,BAR STOOL,TRANSITIONAL,200,,,,,"29""H BARSTOOL",MALAYSIA,SWIVEL,BLACK,20,OAK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"FOAM, MDF, VENEER",4,26,70,2PCS SET,19,42,17.5,23,16.25,16.25,1.75,13,17.5,1.75,29,YES,360,BAR STOOLS,ROUND,LEATHER-LOOK,200,90,RUBBERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARSTOOL - 2PCS / 42""H / SWIVEL / DARK OAK BAR HEIGHT","Style or comfort? Why pick when this set of 2 dark oak finish wood barstools blends both so seamlessly. With plush black leather-look 360 degrees swivel seats, interlocking circle design and perfectly positioned circular footrest, these bar height barstools will add a touch of elegance to any game room or dining area.","Set of 2 barstool chairs, Dark oak finish in solid wood, Plush black leather-look 360 degrees swivel seat, Interlocking circle design and perfectly positioned circular footrest",$195.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_1251.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1251!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1251!S2.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1251!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_1251.jpg?q=10/14/2020,
8,I 2358,YES,30,1,4.35,23,14,25,26,9401.71.00.11,021032245085,,BAR,WHITE,YES,,,COUNTER OR BAR HEIGHT,METAL,,,,17.75,24.25,17.75,1,FOAM,WHITE,4,21,36,22.5,22,BAR STOOL,"CONTEMPORARY, MODERN",264,,,,,,CHINA,"ADJUSTABLE, SWIVEL",,45,BLACK,SWIVEL,WITH BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",15,,85,,,,,,19,15.5,,11.75,22.5,3,24.25,YES,360,,,LEATHER-LOOK,,30,,CHROME,ADJUSTABLE HYDRAULIC LIFT,29.75,CHROME,41.5,,29.75,,YES,YES,5.5,3.5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - WHITE / CHROME METAL HYDRAULIC LIFT ,"Against the home bar or counter, this bar chair will be the perfect spot for weekday breakfasts, tasty Sunday brunches or get togethers with friends and family. With an ergonomic curved seat back design, the white leather look seat has sufficient padding and a footrest on the chrome metal base for extra comfort. Adjust the seat from 25 to 30 inches with the hydraulic lift mechanism, or swivel the chair's pedestal base 360 degrees. Perfect for hosting a group of friends or family in your kitchen, games room or elsewhere, this bar stool is as stylish as it gets. Includes 1 bar chair.","Against the home bar or counter, this counter height bar stool will be the new favorite seating spot every day of the week, Solid pedestal base in a smooth chrome metal finish, Super comfortable leather look cushioned material in white; the cross brace can be used as a footrest, Full swivel stool features an adjustable hydraulic lift that allows you to raise the saddle stool from 25 to 30 inches, Product Dimensions: 23 Inch L x 21 Inch W x 42 Inch Maximum H",$88.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2358.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2358!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2358!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2358.jpg?q=10/14/2020,,
9,I 2299,YES,30,1,4.52,23,12,30,37,9401.71.00.11,680796012373,,BAR,GREY,YES,BLACK,SET OF 2,BAR HEIGHT,METAL,,,,20,27.5,19,4,FOAM,GREY,4,20.5,35.75,20.5,16.5,BAR STOOL,"CONTEMPORARY, MODERN",330,,,,,,CHINA,,,45,CHROME,,LOW BACK,LEATHER LOOK,BAR STOOL,"MDF, METAL",,100,,2PCS SET,20.5,35.75,20.5,16.5,15,15.5,,5.75,20.5,2.5,30,,,BAR STOOLS,,POLYESTER,330,30,,CHROME,,,CHROME,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARSTOOL - 2PCS / GREY FABRIC / CHROME BASE / BAR HEIGHT,"With simple lines and contemporary styling, this set of 2 bar height bar stools will transform your entertainment area. The soft and smooth cushioned grey fabric seat with a low profile curved back gives a sleek modern look to a room. The sturdy chrome metal base with a convenient foot rest makes it easy and comfortable for friends and family to hang around when entertaining. This is the perfect seating for an open loft, condo, or small spaces.","Set of 2 bar height stools, Upholstered in a soft textured grey fabric, Sleek chrome metal legs with foot rest for stable support, Modern design with thick cushioned low profile back, Easy to assemble, no special tools required",$118.00 CAD ,BAR,In Stock,http://www.monarchspec.com/PRODUCT_PHOTOS/LINEART_DRAWING/I_2299.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2299!F1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2299!S1.jpg?q=10/14/2020,http://www.monarchspec.com/PRODUCT_PHOTOS/LIFESTYLE_2000x2000/I_2299.jpg?q=10/14/2020,,
